id;identificador_general;estado;created_date;updated_date;documento_id
1;609e1070-5d7c-4fa9-8d42-cb4bcaee1ef1;false;2023-03-02T23:46:11;2023-03-02T02:43:48;1
2;cacb7cbc-1363-4e84-9e1b-067e426b2a98;false;2023-03-02T19:57:04;2023-03-02T15:21:46;2
3;8a5e024e-0a57-41c8-910f-edd642b26562;true;2023-03-02T06:55:29;2023-03-02T20:00:30;3
4;0a18ba45-0cc3-405e-8c26-ae35c826562f;true;2023-03-02T04:00:30;2023-03-02T15:31:45;4
5;a47d73e7-d23c-47dc-95af-ce7da84647dc;false;2023-03-02T12:00:37;2023-03-02T18:04:58;5
6;e3bebbd2-8607-4c1e-9d6e-e3802beb143a;false;2023-03-02T18:35:55;2023-03-02T05:46:22;6
7;089c37da-0c8b-4ece-abad-be942348b469;true;2023-03-02T10:31:12;2023-03-02T20:35:01;7
8;73b3eb44-305b-445a-9d84-16e565951a0d;false;2023-03-02T22:29:30;2023-03-02T03:40:03;8
9;cf0d29da-af93-47a6-adc8-1a7ceb4866db;false;2023-03-03T00:33:38;2023-03-02T13:18:46;9
10;1faca31e-f219-44dd-989a-4ce8981cd462;false;2023-03-02T03:52:48;2023-03-02T22:33:19;10
