id;identificador;fecha_asociacion;puntos_club;estado;created_date;updated_date;asociado_id;club_id
1;192499d4-94a5-41dc-a92c-4fc008285913;2023-03-02T05:25:45;79427;false;2023-03-02T16:59:26;2023-03-03T00:43:10;1;1
2;51fe9341-f0e9-41df-880b-0fc2da7611e6;2023-03-02T08:41:44;74156;true;2023-03-02T19:08:21;2023-03-02T22:35:40;2;2
3;584a16b3-05d6-4690-af88-feedc298185d;2023-03-02T14:09:07;2559;true;2023-03-02T20:19:00;2023-03-02T06:33:07;3;2
4;434dbb21-2c07-4082-a4ad-a41c9eec01f5;2023-03-02T18:17:41;74025;true;2023-03-02T09:37:31;2023-03-02T05:02:58;4;1
5;a651a2c9-76b0-4a15-9a2f-18efad6e29ec;2023-03-02T13:46:50;70387;false;2023-03-02T20:42:38;2023-03-02T13:19:56;5;1
6;a10b4734-7473-4303-965b-f598561a2d3a;2023-03-02T18:44:34;52886;true;2023-03-02T12:47:46;2023-03-03T01:39:57;6;1
7;d8154db3-6d2d-446c-aaae-bae09a874acd;2023-03-02T06:02:10;44784;true;2023-03-02T23:36:42;2023-03-02T17:56:44;7;1
8;9b8a97c7-aabd-433f-a973-b88a8373da66;2023-03-02T16:06:28;49865;false;2023-03-02T21:09:29;2023-03-02T15:59:50;8;2
9;25021656-97a6-4df4-870c-cb738aba492e;2023-03-02T17:36:54;89139;false;2023-03-02T15:04:00;2023-03-02T18:31:00;9;2
10;cb054c20-eaf1-485f-a864-a55fb03e7734;2023-03-02T18:39:40;75878;false;2023-03-02T12:28:20;2023-03-02T03:33:01;10;1
