id;nombre;estado;created_date;updated_date;club_id
1;Adaptativo relationships;true;2023-03-03T00:20:40;2023-03-02T23:21:09;1
2;index infraestructura;true;2023-03-02T02:33:30;2023-03-02T04:36:11;2
3;generate system;false;2023-03-03T01:29:42;2023-03-02T03:55:51;1
4;metrics;false;2023-03-02T11:25:46;2023-03-02T06:50:46;1
5;Videojuegos Verde Toallas;true;2023-03-02T15:21:39;2023-03-02T08:28:31;1
6;actitud fases Dollar;false;2023-03-02T21:50:38;2023-03-02T09:34:43;2
7;Singapur Negro Jefe;false;2023-03-02T12:02:45;2023-03-02T19:38:29;2
8;Bacon synthesize Global;false;2023-03-02T22:20:29;2023-03-02T10:21:07;2
9;Cantabria Fundamental deposit;true;2023-03-02T17:46:59;2023-03-03T00:46:50;2
10;Violeta mindshare;true;2023-03-02T03:50:49;2023-03-02T12:02:13;1
