id;name;estado;created_date;updated_date;club_id
1;Violeta;false;2023-03-02T12:27:12;2023-03-02T15:39:03;1
2;Poblado;true;2023-03-02T12:42:47;2023-03-02T05:42:36;2
3;navigating Investment e-tailers;false;2023-03-02T04:36:36;2023-03-02T13:13:04;1
4;medición Bedfordshire;true;2023-03-02T07:21:04;2023-03-02T08:06:06;2
5;matrix;false;2023-03-02T22:29:30;2023-03-02T13:25:17;2
6;definición;true;2023-03-02T21:53:24;2023-03-02T17:44:36;1
7;Granito Refinado;true;2023-03-03T00:15:48;2023-03-03T01:01:36;2
8;Investigación application Algodón;true;2023-03-03T01:39:49;2023-03-02T01:43:45;2
9;ADP;true;2023-03-02T17:09:07;2023-03-02T18:03:01;1
10;Parafarmacia Panamá Decoración;true;2023-03-02T12:45:43;2023-03-02T01:43:41;2
