id;fecha_evento;fecha_creacion;estado;direccion;created_date;updated_date;admin_club_id;club_id
1;2023-03-02T07:15:32;2023-03-02T01:51:42;false;compelling Bermuda Zimbabwe;2023-03-02T21:46:33;2023-03-02T14:57:38;1;1
2;2023-03-02T01:52:27;2023-03-02T05:36:41;true;Moda;2023-03-02T02:38:21;2023-03-02T08:30:31;2;2
3;2023-03-02T22:14:40;2023-03-02T18:14:32;false;brand;2023-03-02T06:22:12;2023-03-02T14:12:07;1;1
4;2023-03-02T11:48:37;2023-03-03T00:28:37;true;cross-platform;2023-03-02T13:29:02;2023-03-02T16:02:14;1;1
5;2023-03-02T15:43:06;2023-03-02T03:53:36;true;Chalet Grupo;2023-03-03T00:56:57;2023-03-02T21:31:37;1;2
6;2023-03-02T21:07:01;2023-03-02T11:20:39;false;Fantástico;2023-03-02T05:44:47;2023-03-02T13:34:38;1;2
7;2023-03-02T02:17:28;2023-03-02T07:35:18;true;RSS Buckinghamshire Cine;2023-03-02T18:36:07;2023-03-02T02:42:15;2;2
8;2023-03-02T02:18:07;2023-03-02T12:05:29;false;Salud;2023-03-02T19:22:51;2023-03-02T14:11:16;1;2
9;2023-03-02T21:47:57;2023-03-02T15:01:58;true;facilitate Música Cantabria;2023-03-02T06:14:33;2023-03-02T09:24:16;2;2
10;2023-03-02T03:26:51;2023-03-02T10:18:19;false;driver;2023-03-02T12:18:28;2023-03-02T18:22:13;1;2
