id;nombre;precio;costo;precio_puntos;puntos_recompensa;descripcion;estado;created_date;updated_date
1;actitud;22191;90204;20001;77166;complejidad Buckinghamshire Morado;false;2023-03-02T06:10:37;2023-03-02T14:03:53
2;Facilitador Checking;84585;79359;26631;86414;Caserio;false;2023-03-02T17:21:11;2023-03-02T17:42:12
3;Buckinghamshire a Gorro;53599;16639;47502;88711;neural Pequeño Rupee;false;2023-03-02T21:39:22;2023-03-02T12:50:18
4;Camerún portals;67494;84731;72373;20559;compress;false;2023-03-02T19:22:56;2023-03-02T19:01:39
5;Costa SSL;57643;28242;73188;78283;synthesizing Extrarradio;false;2023-03-02T16:52:15;2023-03-02T22:44:27
6;Seguro Terrenos B2B;86975;36079;54847;93351;de;false;2023-03-02T18:20:51;2023-03-02T21:19:22
7;Deportes quantifying state;9277;98022;99547;49406;Distrito cross-platform copying;true;2023-03-02T21:18:12;2023-03-02T12:50:38
8;optimize Rupee;59236;86081;96268;29591;program e-markets deposit;true;2023-03-02T16:03:34;2023-03-02T21:42:33
9;Algodón;29987;37707;2003;59323;Toallas de focus;false;2023-03-02T03:08:15;2023-03-02T11:04:52
10;mindshare;42494;52792;31856;85161;European Gerente;true;2023-03-02T15:02:12;2023-03-02T14:02:48
