id;cantidad;created_date;updated_date;producto_id;caja_id
1;9577;2023-03-02T16:29:09;2023-03-02T05:14:01;1;1
2;90221;2023-03-02T02:36:42;2023-03-03T00:31:02;2;2
3;49502;2023-03-02T20:11:57;2023-03-02T18:20:48;3;3
4;61135;2023-03-02T23:47:02;2023-03-02T20:13:23;4;4
5;41672;2023-03-02T08:19:55;2023-03-02T12:38:38;5;5
6;46437;2023-03-02T03:46:10;2023-03-03T00:13:26;6;6
7;29970;2023-03-02T22:31:05;2023-03-02T20:50:45;7;7
8;368;2023-03-02T13:32:20;2023-03-02T19:31:47;8;8
9;95234;2023-03-02T18:26:02;2023-03-02T07:18:02;9;9
10;69808;2023-03-02T03:06:30;2023-03-02T04:59:22;10;10
