id;cantidad;created_date;updated_date;deposito_id;producto_id
1;73204;2023-03-02T03:03:30;2023-03-03T00:45:31;1;1
2;29765;2023-03-02T21:43:06;2023-03-02T10:50:03;2;2
3;52572;2023-03-02T04:30:03;2023-03-02T12:17:28;3;3
4;57158;2023-03-03T00:27:39;2023-03-02T19:52:19;4;4
5;64206;2023-03-02T04:57:08;2023-03-02T05:07:25;5;5
6;1961;2023-03-03T00:19:51;2023-03-02T18:36:23;6;6
7;46456;2023-03-02T12:11:12;2023-03-02T01:47:09;7;7
8;38496;2023-03-02T04:04:01;2023-03-02T14:39:24;8;8
9;1224;2023-03-02T02:50:37;2023-03-02T19:09:48;9;9
10;90330;2023-03-02T17:18:42;2023-03-02T05:44:46;10;10
