id;costo_total;costo_total_puntos;cantidad;estado;created_date;updated_date;producto_id
1;73671;49251;37344;false;2023-04-02T17:49:45;2023-04-02T17:29:04;1
2;10917;72369;46259;true;2023-04-02T01:02:29;2023-04-01T22:48:28;2
3;27123;43960;39420;true;2023-04-01T23:54:40;2023-04-01T22:33:42;3
4;34435;74892;40559;true;2023-04-01T22:25:36;2023-04-02T14:49:40;4
5;79029;94621;10578;false;2023-04-02T00:40:48;2023-04-02T03:25:40;5
6;25440;98315;63744;true;2023-04-02T09:51:42;2023-04-02T00:22:28;6
7;7220;38031;44699;true;2023-04-02T17:31:05;2023-04-02T12:40:58;7
8;74831;96955;34770;true;2023-04-02T10:42:26;2023-04-01T21:59:29;8
9;51667;70166;398;false;2023-04-02T01:45:07;2023-04-02T09:23:49;9
10;16772;47140;23915;true;2023-04-02T07:44:32;2023-04-01T21:04:58;10
