id;costo_total;costo_total_puntos;cantidad;created_date;updated_date;venta_id;producto_id
1;20580;34345;73896;2023-03-02T22:11:19;2023-03-02T09:17:58;1;1
2;24003;29768;25354;2023-03-02T06:00:37;2023-03-02T22:55:54;2;2
3;79689;3138;94669;2023-03-02T04:04:50;2023-03-02T05:43:21;3;3
4;44150;74970;90412;2023-03-02T10:40:13;2023-03-02T23:16:42;4;4
5;12885;48422;33085;2023-03-02T09:21:45;2023-03-02T15:45:52;5;5
6;48803;73651;92795;2023-03-02T09:24:52;2023-03-02T21:18:56;6;6
7;31043;18308;29938;2023-03-03T00:49:23;2023-03-02T09:09:21;7;7
8;83450;99960;7431;2023-03-02T21:52:56;2023-03-02T20:32:57;8;8
9;50404;26153;52903;2023-03-02T07:13:47;2023-03-02T07:26:36;9;9
10;96249;41290;58794;2023-03-02T17:58:48;2023-03-02T02:40:31;10;10
