id;costo_total;costo_total_puntos;identificador_ticket;entregado;created_date;updated_date;cajero_id
1;19772;84409;f51256ff-787c-4404-a879-214c1ce00ae4;true;2023-03-02T06:12:26;2023-03-02T05:35:25;1
2;5093;26558;a1b96180-4acd-49e8-955e-71d58e22ceba;false;2023-03-02T23:25:41;2023-03-02T12:02:03;2
3;74162;59788;2dbb8244-86bd-414b-967a-56b5a9e4e95b;true;2023-03-02T20:51:07;2023-03-02T23:09:22;2
4;95488;73779;5e6889ff-0c22-4a96-a4bd-16035e3ccb1e;false;2023-03-02T14:13:16;2023-03-02T18:31:26;1
5;27154;2730;3d89af53-6249-4404-b0c6-d352404887ba;true;2023-03-02T10:38:03;2023-03-03T01:36:52;1
6;70631;70339;cfcf6975-f05e-4321-92f1-cf10fe3a92a5;false;2023-03-03T00:19:08;2023-03-02T11:32:10;2
7;44219;5867;af0052d6-8156-4812-b123-08782dd4b3f3;false;2023-03-02T03:28:21;2023-03-02T08:56:10;1
8;34355;1122;3aab9d35-3ad2-46e2-a02a-9876c74607aa;true;2023-03-02T11:32:30;2023-03-02T17:49:47;2
9;29139;54027;0a286e2d-9f75-42f1-ae19-24c0168dd04c;true;2023-03-02T03:05:59;2023-03-02T18:03:34;1
10;32519;77565;cef038af-a6fb-4d4e-b511-ec50f990fcc1;true;2023-03-02T23:09:17;2023-03-02T22:58:47;1
